"Hashtag","Frequency"
"NY",183
"paidleave",183
"offthesidelines",102
"FAMILYAct",95
"passMJIA",55
"OffTheSidelines",42
"NY24",34
"ACA",30
"IgniteChangeChat",26
"CNY",25
"WomensMarch",24
"NYC",20
"ruralbroadband",20
"PSNewsChat",17
"DemsInPhilly",15
"equalpay",15
"MadeInAmerica",15
"Enough",14
"NY19",14
"DNCinPHL",13
"GrahamCassidy",13
"MJIA",13
"ZikaVirus",13
"Buffalo",12
"medicalmarijuana",12
"winwithwomen",12
"DreamActNow",11
"Fairness4Vets",11
"HoosickFalls",11
"MeToo",11
"Stonewall",11
"GetCovered",10
"LaborDay",10
"NDAA",10
"NetNeutrality",10
"Sandy",10
"SOTU",10
"Zika",10
"guntrafficking",9
"ImWithHer",9
"LGBT",9
"PFOA",9
"Rochester",9
"SecCarter",9
"STOCKAct",9
"Trumpcare",9
"WomensConvention",9
"GOTV",8
"LongIsland",8
"MadeinAmerica",8
"MLKDay",8
"Nov8",8
"NPS100",8
"PSOB",8
"Syracuse",8
"Albany",7
"Brooklyn",7
"CWSG",7
"ElectionDay",7
"feelthelove",6
"FindYourPark",6
"FMNP",6
"IStandWithPP",6
"LGBTQ",6
"NY22",6
"NYFarmDay",6
"passCASAct",6
"Rio2016",6
"ROC",6
"vote",6
"WhyIMarch",6
"BlackWomensEqualPay",5
"BlueWaterNavy",5
"DefendDACA",5
"Harvey",5
"Jointsession",5
"MothersDay",5
"Paidleave",5
"paidleavemeans",5
"Ruralbroadband",5
"SCOTUS",5
"TBT",5
"Thanksgiving",5
"Watertown",5
"WNY",5
"100x25",4
"7in10forRoe",4
"Bronx",4
"DemConvention",4
"FathersDay",4
"FingerLakes",4
"FMLA25",4
"HofDebate16",4
"MadeinNY",4
"makeaplan",4
"MakeAPlan",4
"ManufacturingU",4
"NH",4
"NoBillNoBreak",4
"NY01",4
"PassMJIA",4
"Queens",4
"SmallBizSat",4
"StandWithFamilies",4
"StrongerTogether",4
"Utica",4
"WhatMomsNeed",4
"WomensHistoryMonth",4
"BlackHistoryMonth",3
"Canandaigua",3
"CASAct",3
"CHIP",3
"CleanPowerPlan",3
"DEA",3
"DearBetsy",3
"DemsinPhilly",3
"DisarmHate",3
"Dreamers",3
"endguntrafficking",3
"endgunviolence",3
"EqualPayDay",3
"fairness4vets",3
"FMLA",3
"FMLA23",3
"FMLA24",3
"GOPTaxScam",3
"HurricaneMatthew",3
"IL",3
"LymeDisease",3
"MedicareforAll",3
"MemorialDay",3
"minimumwage",3
"NANLPC16",3
"Newburgh",3
"NYPD",3
"PaidLeave",3
"ParisAgreement",3
"PFOS",3
"Plattsburgh",3
"Pride2016",3
"RaisetheWage",3
"RoeVWade",3
"SASC",3
"StonewallInn",3
"TeamUSA",3
"Troy",3
"VotingRightsAct",3
"WinWithWomen",3
"WomensEqualityDay",3
"WonderWoman",3
"WPETC",3
"WRDA",3
"911health",2
"Adirondacks",2
"AHCA",2
"BeatThePress",2
"Binghamton",2
"BKinDC",2
"BuyAmerica",2
"CARA",2
"CARERSAct",2
"CASen",2
"ChildCareNow",2
"CitizensUnited",2
"DayoftheGirl",2
"debate",2
"Debates2016",2
"DemocraticSitIn",2
"DreamAct",2
"DREAMAct",2
"EITC",2
"Endguntrafficking",2
"EndGunViolence",2
"EPW",2
"ExpectingBetter",2
"FarmBill",2
"FinalFive",2
"Fredonia",2
"Getregistered",2
"GirlClub",2
"GivingTuesday",2
"gotv",2
"HighNoon2016",2
"holdthefloor",2
"ImWithThem",2
"Irma",2
"Ithaca",2
"LatinaEqualPay",2
"lifeatspotify",2
"lolz4hilz",2
"LongIslandSound",2
"metoo",2
"MLKinBK",2
"MLSCupPlayoffs",2
"MomsEqualPay",2
"MST",2
"Munich",2
"MyLifeOnTheRoad",2
"NatlParkforStonewall",2
"NC",2
"neverforget",2
"NeverForget",2
"NiagaraFalls",2
"NYCGoPurple",2
"NYCPride",2
"OvertimeRule",2
"PA",2
"paidleavechecklist",2
"Paidleavemeans",2
"Petersburgh",2
"PinkOut",2
"PlumIsland",2
"Pride",2
"PTSD",2
"Roe45",2
"saveDACA",2
"SNAPworks",2
"SpiritDay",2
"StatenIsland",2
"STEM",2
"StopGorsuch",2
"TBI",2
"TIME100",2
"VeteransDay",2
"ViewPoint",2
"Vote",2
"VoterEmpowermentAct",2
"WereWithHer",2
"wereyouthere",2
"WhatDadsNeed",2
"WhitePlains",2
"WorldAIDSDay",2
"Yonkers",2
"100yearsstrong",1
"100YearsStrong",1
"19thamendment",1
"1uwomen",1
"3k2017",1
"6MonthsSinceWomensMarch",1
"agriculture",1
"ALSAdvocacyDay",1
"AltonSterling",1
"AlwaysNewYork",1
"AskFinalFive",1
"Auburn",1
"Bayshore",1
"BestofUS",1
"BlackWomenLead",1
"BlueStarMuseums",1
"budget",1
"BuffaloNite",1
"CA",1
"California",1
"CaucusWeekend",1
"CEODenise",1
"Cheektowaga",1
"CitizenshipNow",1
"CitizenshipNOW",1
"cleanDreamActNow",1
"ClimateMarch",1
"CNNTownHall",1
"ComeyFiring",1
"Concordia16",1
"cookiehistory",1
"Corning",1
"CountKids",1
"CrownHeights",1
"CSEdweek",1
"CUNY",1
"DADT",1
"DayOfTheGirl",1
"DE",1
"Debate",1
"debatenight",1
"DeclareYourAmbition",1
"DefendTheArts",1
"DefendTheGIBill",1
"DemCovention",1
"Democratic",1
"Detroit",1
"DeVos",1
"DíaDeLosReyes",1
"Diwali",1
"DomesticViolenceAwarenessMonth",1
"DREAMActNow",1
"DREAMers",1
"DREAMERS",1
"EarthDay",1
"Easter",1
"EITCAwarenessDay",1
"Elma",1
"EndDVNow",1
"Endicott",1
"EpiPen",1
"Equalpay",1
"ERA",1
"eyes",1
"Fairport",1
"FAMLYAct",1
"farmers",1
"FDNY",1
"fightfor15",1
"FightFor15",1
"findyourpark",1
"Fleming",1
"FourthofJuly",1
"FourthOfJuly",1
"FourthOfJulyWeekend",1
"FreeSummerMeals",1
"FRW2016",1
"GeekStreetFair",1
"Geneseo",1
"getcovered",1
"GetOutTheVote",1
"Gettested",1
"GillibrandTownHall",1
"GlensFalls",1
"globalgagrule",1
"GlobalGagRule",1
"goodtrouble",1
"GuidedbyScience",1
"GunViolenceAwarenessMonth",1
"Halloween",1
"Hanukkah",1
"Harlem",1
"HB2",1
"HereToStay",1
"Hermine",1
"HolocaustMemorialDay",1
"HolocaustRemembranceDay",1
"HonorWithAction",1
"Hornell",1
"HRCNYGala",1
"HudsonValley",1
"HuntsPoint",1
"HydePark",1
"IDAHOT",1
"IgniteChangeChet",1
"ILOJC16",1
"Immigration",1
"ImWithTim",1
"INeedIX",1
"inners",1
"InternationalWomensDay",1
"InvestHealth",1
"ItsOnUs",1
"JFKAirport",1
"JoinTheResistance",1
"Juneteenth",1
"KeepClinicsOpen",1
"KingsPoint",1
"Ladder25",1
"leadonleave",1
"LeadOnLeave",1
"LetGirlsLearn",1
"LetLizSpeak",1
"LikeAGirlScout",1
"LIRR",1
"LLWS",1
"LongIslandCity",1
"LoveIsLove",1
"lovettorleaveit",1
"LunarNewYear",1
"madeinAmerica",1
"madeinNY",1
"MakeaPlan",1
"manufacturing",1
"Medicalmarijuana",1
"MedicalMarijuana",1
"MedicareForAll",1
"MemorialDay2016",1
"MfgDay16",1
"MfgDay2016",1
"MLK",1
"MondayMotivation",1
"MuseumsConnect",1
"MuslimBan",1
"NANMLK18",1
"NationalComingOutDay",1
"NationalFarmersDay",1
"NationalNightOut",1
"NationalVoterRegistrationDay",1
"NCSen",1
"NCVotesEarly",1
"NewYork",1
"NGMHAAD",1
"NH02",1
"NoMuslimBanEver",1
"NorthCountry",1
"NoshTheVote",1
"NPWF45",1
"NV",1
"NVSen",1
"NVTogether",1
"NY21",1
"NYAlert",1
"nycmarathon",1
"NYCpride",1
"NYCPrimary",1
"NYS",1
"NYSenate",1
"NYSFair",1
"NYSOH",1
"NYWomenLead",1
"OfftheSidelines",1
"offthesisdlines",1
"OHSen",1
"OMB",1
"Oneida",1
"OurNY",1
"overdueOT",1
"paideave",1
"PaidLeaveChecklist",1
"PDA38",1
"PDF17",1
"PearlHarbor",1
"PearlHarborRemembranceDay",1
"PennYan",1
"Periscope",1
"persist",1
"Petersburg",1
"PhilandoCastile",1
"PlannedParenthood",1
"PoliticalView",1
"pregnancy",1
"pride2016",1
"ProtectDreamers",1
"ProtectOurCare",1
"ProtectTransTroops",1
"ReclaimingOurTime",1
"RedCross",1
"repealthe19th",1
"reprorights",1
"Resolution2018",1
"restoretheVRA",1
"RiseUp",1
"RIT",1
"RNCinCLE",1
"roc",1
"ROCtransitDay",1
"Roe44",1
"RoevWade",1
"RPI",1
"runforsomething",1
"SamanthaBee",1
"SandLake",1
"SandyHook",1
"SAPRO",1
"Saratoga",1
"SaratogaSprings",1
"saveabx",1
"SaveACA",1
"savetheACA",1
"SayNotoAzar",1
"sexualassault",1
"Shirley",1
"ShopSmall",1
"ShowUsTheBill",1
"SkinnyRepeal",1
"SmallBusinessWeek",1
"SNAP",1
"SolarEclipse",1
"standwithfamilies",1
"StandWithPP",1
"StartTalkingHIV",1
"StateofWomen",1
"StateOfWomen",1
"stonewallnationalmonument",1
"StonewallNationalMonument",1
"STOPunderrides",1
"strongertogether",1
"TaxDay",1
"TaxMarch",1
"tbt",1
"thankyoususanb",1
"ThreeKingsDay",1
"Time4CARERS",1
