"status_id","created_at","user_id","text","source","reply_to_status_id","reply_to_user_id","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x970717144815194113",2018-03-05 17:46:17,"x460376288","She's ready to knock on some doors. Click here to get involved → https://t.co/pop9rQIMgK #NDPol #NDSen https://t.co/QCImP7JwfC","Twitter for iPhone",,,FALSE,FALSE,20,4,"NDPol NDSen",,"heidifornorthdakota.com","https://t.co/pop9rQIMgK","http://heidifornorthdakota.com","http://pbs.twimg.com/media/DXiuGD0VQAImk4A.jpg","https://t.co/QCImP7JwfC","https://twitter.com/HeidiHeitkamp/status/970717144815194113/photo/1","photo","http://pbs.twimg.com/media/DXiuGD0VQAImk4A.jpg","https://t.co/QCImP7JwfC","https://twitter.com/HeidiHeitkamp/status/970717144815194113/photo/1",,,,"en",,,,,,,,,,,,,
"x970112895387422720",2018-03-04 01:45:12,"x460376288","Standing in solidarity with these brave women in Denver. Folks should be able to do their jobs without fear of this type of treatment. Thank you for speaking out and helping make the workplace safer for all women. https://t.co/2iMwVX0jJi","Twitter for iPhone",,,FALSE,FALSE,9,2,,,"denverpost.com/2018/02/28/ste…","https://t.co/2iMwVX0jJi","https://www.denverpost.com/2018/02/28/steve-lebsock-investigation-documents/",,,,,,,,,,,"en",,,,,,,,,,,,,
"x969279951475216386",2018-03-01 18:35:23,"x460376288","From fighting for paid family leave to advocating for survivors of domestic violence, I'll always be a strong voice for women as your Senator. During this #WomensHistoryMonth, let's recommit to policies that lift up women, families &amp; all North Dakotans → https://t.co/pop9rQIMgK https://t.co/6Pkddznm8q","Twitter Web Client",,,FALSE,FALSE,16,6,"WomensHistoryMonth",,"heidifornorthdakota.com","https://t.co/pop9rQIMgK","http://heidifornorthdakota.com","http://pbs.twimg.com/media/DXOS69YVMAAU8bw.jpg","https://t.co/6Pkddznm8q","https://twitter.com/HeidiHeitkamp/status/969279951475216386/photo/1","photo","http://pbs.twimg.com/media/DXOS69YVMAAU8bw.jpg","https://t.co/6Pkddznm8q","https://twitter.com/HeidiHeitkamp/status/969279951475216386/photo/1",,,,"en",,,,,,,,,,,,,
"x969266002683981826",2018-03-01 17:39:57,"x460376288","RT @nddemnpl: A fitting #TBT for this first day of #WomensHistoryMonth from when @HeidiHeitkamp first started serving the people of North D…","Twitter for iPhone",,,FALSE,TRUE,0,8,"TBT WomensHistoryMonth",,,,,,,,,,,,,"x63168512 460376288","nddemnpl HeidiHeitkamp","en",,,"x969259489009590273","A fitting #TBT for this first day of #WomensHistoryMonth from when @HeidiHeitkamp first started serving the people of North Dakota as Tax Commissioner from 1986 to 1992! https://t.co/aUNlaqUKUQ",,,,,,,,,
"x968929142082359296",2018-02-28 19:21:23,"x460376288","No kid should go hungry because they can't afford lunch at school. Thankful for the families in the Fargo-Moorhead area who are taking action on this issue. Let's help them reach their goal! https://t.co/2qSH8INCGX","Twitter Web Client",,,TRUE,FALSE,16,1,,,"twitter.com/inforum/status…","https://t.co/2qSH8INCGX","https://twitter.com/inforum/status/968841735207038976",,,,,,,,,,,"en","x968841735207038976","Local parents create GoFundMe account to pay off student lunch debt https://t.co/JS9xCLXzNt https://t.co/fGTjCBvkep",,,,,,,,,,,
"x968557224594460672",2018-02-27 18:43:31,"x460376288","Recently spoke w/ the @NDSUSpectrum about #NetNeutrality—this is about fairness and freedom for students, small businesses and hardworking North Dakotans. #OneMoreVote https://t.co/RLleJwJe5K","Twitter Web Client","x968557222694440961","x460376288",FALSE,FALSE,14,9,"NetNeutrality OneMoreVote",,"ndsuspectrum.com/heitkamp-speak…","https://t.co/RLleJwJe5K","http://ndsuspectrum.com/heitkamp-speaks-on-net-neutrality/",,,,,,,,,"x21608414","NDSUSpectrum","en",,,,,,,,,,,,,
"x968557222694440961",2018-02-27 18:43:31,"x460376288","Who knew @jontester had such a great jump shot? Proud to join my colleagues in protecting #NetNeutrality. We must make sure the internet is free &amp; open for all North Dakotans. #OneMoreVote https://t.co/cyEnPl3AT9","Twitter Web Client",,,TRUE,FALSE,27,9,"NetNeutrality OneMoreVote",,"twitter.com/CoryBooker/sta…","https://t.co/cyEnPl3AT9","https://twitter.com/CoryBooker/status/968532650729275393",,,,,,,,,"x16473577","jontester","en","x968532650729275393","Block shots 🏀, not the internet. 
#OneMoreVote to save #NetNeutrality https://t.co/g6y1haLKvM",,,,,,,,,,,
"x968252492701200390",2018-02-26 22:32:38,"x460376288","A nice article in the @Wahpeton Daily News about our work on behalf of #NorthDakota families. We'll never stop fighting to ensure our communities are strong, safe &amp; thriving for the next generation. https://t.co/r8SooYGxir","Twitter Web Client",,,TRUE,FALSE,13,3,"NorthDakota",,"twitter.com/wahpeton/statu…","https://t.co/r8SooYGxir","https://twitter.com/wahpeton/status/968176477580689409",,,,,,,,,"x24295890","wahpeton","en","x968176477580689409","The designation demonstrates that Heitkamp has made a significant commitment to being the best public servant for her constituents in North Dakota. https://t.co/zVxgeCfXTM",,,,,,,,,,,
"x967160145569513472",2018-02-23 22:12:02,"x460376288","As a breast cancer survivor, I know what families go through when life takes an unexpected turn. And as your Senator, I'll always focus on real, concrete solutions to bring down the cost of care and make sure it's affordable and accessible for all NDans. https://t.co/5lfzOV76tD","Twitter Web Client","x967160143183077376","x460376288",FALSE,FALSE,12,5,,,"bit.ly/2EOGYtS","https://t.co/5lfzOV76tD","http://bit.ly/2EOGYtS",,,,,,,,,,,"en",,,,,,,,,,,,,
"x967160143183077376",2018-02-23 22:12:01,"x460376288","North Dakotans deserve real health care solutions—not partisan political games or ""symbolic"" repeal votes. #ProtectOurCare https://t.co/lTjshxvsVQ","Twitter Web Client",,,FALSE,FALSE,15,9,"ProtectOurCare",,,,,"http://pbs.twimg.com/media/DWwKY64VoAAT20o.jpg","https://t.co/lTjshxvsVQ","https://twitter.com/HeidiHeitkamp/status/967160143183077376/photo/1","photo","http://pbs.twimg.com/media/DWwKY64VoAAT20o.jpg","https://t.co/lTjshxvsVQ","https://twitter.com/HeidiHeitkamp/status/967160143183077376/photo/1",,,,"en",,,,,,,,,,,,,
"x966812398849060866",2018-02-22 23:10:13,"x460376288","Good article in @AgweekMagazine by @jmreport about my work to tackle the addiction epidemic in ND. Congress can't keep just talking about this issue—that's why I'm pushing for real solutions to give communities more options &amp; funding for treatment. https://t.co/oANwHUxG1y","Twitter Web Client",,,FALSE,FALSE,5,3,,,"agweek.com/business/agric…","https://t.co/oANwHUxG1y","http://www.agweek.com/business/agriculture/4407507-communities-big-and-small-need-plan-combat-addiction-heitkamp-says",,,,,,,,,"x20454896 179653548","AgweekMagazine jmreport","en",,,,,,,,,,,,,
"x966787375035768833",2018-02-22 21:30:46,"x460376288","RT @790KFGO: North Dakota Champs in the last 6 months:
-Bismarck native Cara Mund is named @MissAmerica 
-Bismarck native @cj_wentz &amp; the P…","Twitter for iPhone",,,FALSE,TRUE,0,27,,,,,,,,,,,,,,"x109679814 35940348 64635680","790KFGO MissAmerica cj_wentz","en",,,"x966699952872263681","North Dakota Champs in the last 6 months:
-Bismarck native Cara Mund is named @MissAmerica 
-Bismarck native @cj_wentz &amp; the Philly Eagles win the Super Bowl
-Grand Forks natives @JocelyneUSA17&amp; @moniquelam7 &amp; @TeamUSA are Olympic Gold Medalists 
#winning #NDPride",,,,,,,,,
"x966713725301526528",2018-02-22 16:38:07,"x460376288","The Golden Girls—love the nickname! Congrats to @JocelyneUSA17,  @moniquelam7 &amp; #TeamUSA for their incredible win last night! #NorthDakota is so proud of you two. #gold #Olympics https://t.co/HtM9JYftO5","Twitter Web Client",,,TRUE,FALSE,29,9,"TeamUSA NorthDakota gold Olympics",,"twitter.com/NBCOlympics/st…","https://t.co/HtM9JYftO5","https://twitter.com/NBCOlympics/status/966587795434360832",,,,,,,,,"x275704766 279117992","JocelyneUSA17 moniquelam7","en","x966587795434360832","If you needed a better look at how DIRTY Jocelyne Lamoureux-Davidson's game winning goal was 😱 https://t.co/wkOWa0qwZl https://t.co/7GRRCOkoNk",,,,,,,,,,,
