"status_id","created_at","user_id","text","source","reply_to_status_id","reply_to_user_id","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x953432989454815233",2018-01-17 01:05:13,"x587100576","Don’t forget the plants, pipes, pets, and people! Stay warm out there! https://t.co/26xc2xJpch","Twitter for iPhone",,,TRUE,FALSE,4,1,,,"twitter.com/stevewafb/stat…","https://t.co/26xc2xJpch","https://twitter.com/stevewafb/status/953432483399458816",,,,,,,,,,,"en","x953432483399458816","Snow obviously the focus tonight but don't underestimate the cold. Some spots already in the low 20s and Lafayette has a wind chill of 9! #LAwx https://t.co/n3919w9UbO",,,,,,,,,,,
"x952713596525596672",2018-01-15 01:26:36,"x587100576","Heartbreaking loss, but incredible 2nd half effort. Great season @Saints — #WhoDat","Twitter for iPhone",,,FALSE,FALSE,12,0,"WhoDat",,,,,,,,,,,,,"x31504542","Saints","en",,,,,,,,,,,,,
"x950877083621879811",2018-01-09 23:48:57,"x587100576","Sheriff Geautreaux spoke at the Ronald Regan Newsmaker Luncheon today &amp; discussed the state of EBRSO. Grateful for his leadership, we are a better parish for all that he and his team have done and the example they set for the community! https://t.co/IEdBj4xiDY","Twitter for iPhone",,,FALSE,FALSE,6,0,,,,,,"http://pbs.twimg.com/media/DTIxqbbVMAAWgqN.jpg","https://t.co/IEdBj4xiDY","https://twitter.com/garretgraves/status/950877083621879811/photo/1","photo","http://pbs.twimg.com/media/DTIxqbbVMAAWgqN.jpg","https://t.co/IEdBj4xiDY","https://twitter.com/garretgraves/status/950877083621879811/photo/1",,,,"en",,,,,,,,,,,,,
"x950305745706373120",2018-01-08 09:58:40,"x587100576","RT @WBRZweather: ***FLASH FLOOD WATCH*** IN EFFECT UNTIL 12:00 PM MONDAY.  The models are indicating the possibility of extremely heavy rai…","Twitter for iPhone",,,FALSE,TRUE,0,4,,,,,,,,,,,,,,"x367945799","WBRZweather","en",,,"x950175423966666752","***FLASH FLOOD WATCH*** IN EFFECT UNTIL 12:00 PM MONDAY.  The models are indicating the possibility of extremely heavy rain occurring in the overnight hours Sunday night into Monday morning with locally heavy amount totalling 2-4 inches in some locations. https://t.co/Kx7g6PwKlh",,,,,,,,,
"x949283279424950272",2018-01-05 14:15:45,"x587100576","RT @SteveWAFB: A beautiful sunrise this morning and for the second time this week, clouds have saved us from an even colder morning. #LAwx…","Twitter for iPhone",,,FALSE,TRUE,0,7,"LAwx",,,,,,,,,,,,,"x17378355","SteveWAFB","en",,,"x949264267487965184","A beautiful sunrise this morning and for the second time this week, clouds have saved us from an even colder morning. #LAwx https://t.co/uPMFEwamAf",,,,,,,,,
"x948991034108907525",2018-01-04 18:54:28,"x587100576","RT @Coach_EdOrgeron: I’m very happy to report Dave Aranda has agreed to be with our program for years to come. Thanks to Joe Alleva, Dr. Al…","Twitter for iPhone",,,FALSE,TRUE,0,1368,,,,,,,,,,,,,,"x1198582129","Coach_EdOrgeron","en",,,"x948757004704772096","I’m very happy to report Dave Aranda has agreed to be with our program for years to come. Thanks to Joe Alleva, Dr. Alexander and the board of supervisors for their support in making this happen. Geaux Tigers.",,,,,,,,,
"x947907740864860161",2018-01-01 19:09:51,"x587100576","Wishing everyone a happy and healthy New Year!","Twitter for iPhone",,,FALSE,FALSE,9,1,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x947627467023572994",2018-01-01 00:36:08,"x587100576","Tough loss for the @Saints but a great season with a NFC South Championship! #whodat #nfcchampions","Twitter for iPhone",,,FALSE,FALSE,1,0,"whodat nfcchampions",,,,,,,,,,,,,"x31504542","Saints","en",,,,,,,,,,,,,
"x947617422181363712",2017-12-31 23:56:13,"x587100576","#WhoDat https://t.co/VOHhAppQhQ","Twitter for iPhone",,,TRUE,FALSE,0,0,"WhoDat",,"twitter.com/jacquesdoucet/…","https://t.co/VOHhAppQhQ","https://twitter.com/jacquesdoucet/status/947617234796544002",,,,,,,,,,,"und","x947617234796544002","Touchdown #Saints! @WAFB https://t.co/mSRlFQ1PnW",,,,,,,,,,,
"x947617319995543552",2017-12-31 23:55:49,"x587100576","As we ring in the New Year, stay warm! https://t.co/eth8KkDitm","Twitter for iPhone",,,TRUE,FALSE,1,0,,,"twitter.com/wbrzweather/st…","https://t.co/eth8KkDitm","https://twitter.com/wbrzweather/status/947583595127955456",,,,,,,,,,,"en","x947583595127955456","*HARD FREEZE WARNING* for the shaded area. Temperatures are expected to drop below 25°. #WBRZwx https://t.co/Z4GZ4c7yZa",,,,,,,,,,,
"x945329094262128640",2017-12-25 16:23:14,"x587100576","Merry Christmas! Wishing you a happy, hopeful holiday season!","Twitter for iPhone",,,FALSE,FALSE,14,1,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x943670477234606080",2017-12-21 02:32:28,"x587100576","Today was a good day! https://t.co/Ey3jMSka9X","Twitter for iPhone",,,TRUE,FALSE,12,2,,,"twitter.com/housegop/statu…","https://t.co/Ey3jMSka9X","https://twitter.com/housegop/status/943573731061854208",,,,,,,,,,,"en","x943573731061854208","✔ More jobs
✔ BIGGER PAYCHECKS! 
This is a historic moment for everyday Americans who have been searching for some relief. https://t.co/vTnOQg1q8X https://t.co/Rbcj81vX48",,,,,,,,,,,
"x941734253733216256",2017-12-15 18:18:37,"x587100576","Congrats to the @SouthernU_BR graduates! Good luck Jags!","Twitter for iPhone",,,FALSE,FALSE,3,0,,,,,,,,,,,,,,"x259847685","SouthernU_BR","en",,,,,,,,,,,,,
"x941703735838953472",2017-12-15 16:17:21,"x587100576","Happy Graduation Tigers!! #LSU","Twitter for iPhone",,,FALSE,FALSE,7,1,"LSU",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x940770084292825088",2017-12-13 02:27:21,"x587100576","RT @sportfishpolicy: The #ModernFish Act is on the move in the Halls of Congress. On December 13, at 10 a.m. EST, @NatResources will vote o…","Twitter for iPhone",,,FALSE,TRUE,0,6,"ModernFish",,,,,,,,,,,,,"x3141876639 41445718","sportfishpolicy NatResources","en",,,"x940597748495155201","The #ModernFish Act is on the move in the Halls of Congress. On December 13, at 10 a.m. EST, @NatResources will vote on a legislative package aimed at improving federal marine fisheries management, including the #ModernFish Act. #LetAmericaFish https://t.co/xBRaNQGCOx",,,,,,,,,
