"full_name","chamber","party","state","bin","created_at","screen_name","media_url","text"
"Bennie Thompson","House","D","Miss.",20,"2018-01-22 21:23:57","BennieGThompson","http://pbs.twimg.com/media/DULNI2bW4AAfqFu.jpg","Today I stand with my @OfficialCBC colleagues on how the CR does not provide a long-term solution for CHIP, which could have saved the government $6 billion with a 10-year extension. Instead, they chose to extend it for only six years, saving only $1 billion. #TrumpShutdown https://t.co/JYaXu3VoRb"
"Bennie Thompson","House","D","Miss.",20,"2017-01-24 19:47:23","BennieGThompson","","Have you heard of a government program that will pay your bills?
 
If yes, BE WARE and follow… https://t.co/A6zSCaAz4H"
"Bennie Thompson","House","D","Miss.",20,"2015-02-11 16:29:36","BennieGThompson","","The Department of Homeland Security is operating under the threat of a government shutdown. During… http://t.co/V3Lub3Z9hB"
"Bennie Thompson","House","D","Miss.",20,"2013-10-15 21:08:51","BennieGThompson","","Friends, 
In the midst of the #governmentshutdown, I want to hear from you! Fill out this quick survey! https://t.co/ZjW3sSFMdc"
"Bennie Thompson","House","D","Miss.",20,"2013-10-12 17:14:24","BennieGThompson","http://pbs.twimg.com/media/BWZHGrcIAAESAZQ.jpg","Today, I signed the discharge petition to force a vote on a clean continuing resolution to open the government! http://t.co/i4n5Z1fwrC"
"Bennie Thompson","House","D","Miss.",20,"2013-10-01 17:31:00","BennieGThompson","","Congressman Thompson calls House Republicans to stop grandstanding and serve:

Today, over 800,000 government... http://t.co/xFKhg75t0e"
"Bennie Thompson","House","D","Miss.",20,"2013-10-01 14:25:08","BennieGThompson","","Today, marks a historic day for millions of Americans. Even though the government has shutdown, you can still... http://t.co/uSL9NCx9vP"
"Bennie Thompson","House","D","Miss.",20,"2013-09-30 12:24:36","BennieGThompson","","In recent days, Congress has taken important votes on funding the government for the fiscal year that starts on... http://t.co/09s4fsQxgY"
"Bennie Thompson","House","D","Miss.",20,"2011-04-08 20:35:19","BennieGThompson","","I see no reason to shut the federal government down.  Check out my thoughts. http://1.usa.gov/gWBzXG"
"Betty McCollum","House","D","Minn.",5,"2018-02-06 23:32:37","BettyMcCollum04","http://pbs.twimg.com/media/DVY5ddDWAAANVYV.jpg","Unlike @realDonaldTrump, I don't want a government shutdown. I want what's best for America: a budget agreement that keeps our government open, protects our national security &amp; meets our commitments to hardworking families. https://t.co/1JXmuEEhx0"
