"full_name","chamber","party","state","bin","created_at","screen_name","media_url","text"
"Bennie Thompson","House","D","Miss.",20,"2018-02-02 18:04:20","BennieGThompson","http://pbs.twimg.com/media/DVDI7D2X4AArs00.jpg","Yesterday, I sent a letter to the @EPA concerning the environmental contamination caused by the Rockwell/Textron plant in Grenada, MS affecting the health of Eastern Heights residents. https://t.co/TDdp5uSAG4"
"Bennie Thompson","House","D","Miss.",20,"2016-04-04 22:47:00","BennieGThompson","","CONGRESSMAN THOMPSON ADDRESSES STATUS OF GRENADA ENVIRONMENTAL HAZARD ISSUE
 
WASHINGTON, DC –… https://t.co/lsSC3MOnyn"
"Bennie Thompson","House","D","Miss.",20,"2016-03-31 19:13:01","BennieGThompson","","FYI: The United States Environmental Protection Agency is currently accepting proposals for its… https://t.co/LQqWGbtnQP"
"Betty McCollum","House","D","Minn.",5,"2018-02-15 14:53:26","BettyMcCollum04","http://pbs.twimg.com/amplify_video_thumb/964147031815139329/img/m7nlc7bfv5_VqgJy.jpg","With his #TrumpBudget and infrastructure scam, @realDonaldTrump is attacking our environment and our public lands by undermining bedrock clean air and clean water laws and slashing essential enforcement and research efforts. Congress must reject Trump's #DirtyBudget. https://t.co/9miC4AQors"
"Betty McCollum","House","D","Minn.",5,"2018-02-15 14:01:30","BettyMcCollum04","","I'm speaking on the House Floor soon about the #TrumpBudget cuts to environmental protections &amp; attacks on our public lands. Tune in on @CSPAN or watch on https://t.co/uukTRJzSS9 #DirtyBudget"
"Betty McCollum","House","D","Minn.",5,"2018-02-12 19:51:53","BettyMcCollum04","","The #TrumpBudget embodies @realDonaldTrump's Polluters First agenda, with a devastating 24 percent cut to the @EPA that will endanger human health &amp; our environment. https://t.co/3AosnihqMZ"
"Betty McCollum","House","D","Minn.",5,"2018-01-31 02:36:26","BettyMcCollum04","http://pbs.twimg.com/media/DU1hHvTWsAI1FLr.jpg",".@realDonaldTrump's anti-environment, Polluters First agenda doesn't ""make Washington accountable."" It makes our families and communities less safe. #SOTU https://t.co/tDzGVXjYff"
"Betty McCollum","House","D","Minn.",5,"2018-01-31 01:09:09","BettyMcCollum04","http://pbs.twimg.com/media/DU1NYvkWsAAyzGx.jpg","Wearing black to tonight's #SOTU in solidarity with the brave women who have come forward &amp; spoken out against sexual harassment, including by @realDonaldTrump. Every woman — from the factory floor to Capitol Hill — deserves a safe working environment. #TimesUp https://t.co/9zLHzF22hV"
"Betty McCollum","House","D","Minn.",5,"2018-01-26 16:05:25","BettyMcCollum04","","The Trump administration's decision to limit environmental review of sulfide-ore copper mining adjacent to the #BWCA is the latest sign that @SecretaryZinke is hell-bent on threatening this national treasure with toxic mining. https://t.co/UccuoSI30i"
"Betty McCollum","House","D","Minn.",5,"2017-12-19 15:37:29","BettyMcCollum04","http://pbs.twimg.com/media/DRa3yAnWsAEcvBp.jpg","The #GOPTaxScam is more than a terrible tax bill: it's an environmental disaster that turns the #ArcticRefuge into an industrial oil field. #ProtectTheArctic https://t.co/ht8hK6dKtJ https://t.co/C1e0ckZxGf"
"Betty McCollum","House","D","Minn.",5,"2017-12-17 21:59:00","BettyMcCollum04","","The @EPA is doing critical work protecting human health and the environment in the wake of the California wildfires. As I return to Washington this week, I'm going to keep fighting to fully fund the EPA. https://t.co/62qK4orKHg"
"Betty McCollum","House","D","Minn.",5,"2017-12-14 01:07:33","BettyMcCollum04","","What does promoting fossil fuel sales abroad have to do with the @EPA’s core mission of protecting human health &amp; the environment, @EPAScottPruitt? https://t.co/zJzyV5nZhx"
"Betty McCollum","House","D","Minn.",5,"2017-12-12 17:50:44","BettyMcCollum04","http://pbs.twimg.com/media/DQ3TJnjX4AAZq98.jpg","Even though @realDonaldTrump is intent on making our country an environmental rogue state, the #ParisAgreement remains essential to stop the worst effects of climate change. 

We've got to keep fighting for action on climate. #StillIn https://t.co/MN7Vx1YJp1"
"Betty McCollum","House","D","Minn.",5,"2017-11-30 16:30:03","BettyMcCollum04","","H.R. 3905 shortcircuits a careful environmental review and fundamentally alters federal environmental protections to benefit a Chilean mining conglomerate with a poor environmental record. 

To #SaveTheBWCA, we must defeat this dangerous bill."
"Betty McCollum","House","D","Minn.",5,"2017-11-28 22:54:31","BettyMcCollum04","http://pbs.twimg.com/amplify_video_thumb/935642331566526464/img/1dRdnT6uY1-3mUu4.jpg","H.R. 3115 undermines due process, environmental safeguards &amp; the treaty rights of our Native American brothers and sisters. I'm voting NO. https://t.co/aPMgzLzG3N"
"Betty McCollum","House","D","Minn.",5,"2017-11-28 21:36:52","BettyMcCollum04","","I'm heading to the House Floor now to speak against H.R. 3115, which undermines due process, environmental safeguards &amp; the treaty rights of Native Americans, all to expedite construction of the Polymet mine."
"Betty McCollum","House","D","Minn.",5,"2017-11-27 22:31:33","BettyMcCollum04","","This week, the U.S. House will consider two Minnesota-specific bills that make it easier for companies to engage in dangerous sulfide-ore copper mining. You can count on me to vote NO on these anti-environment bills. https://t.co/v0TrtvpZy4"
