"govTrack_id","full_name","lastName","middleName","firstName","chamber","party","partyName","state","govTrack_desc","govTrack_ideology","govTrack_leadership","propublica_url","proPub_sponsoredBills","proPub_cosponsoredBills","proPub_votesAgainstParty","proPub_missedVotes","twitter_url","user_id","name","screen_name","location","description","url","verified","statuses_count","followers_count","friends_count","favourites_count","listed_count","account_created_at","account_lang","profile_url","profile_expanded_url","profile_image_url","profile_banner_url","profile_background_url","n_obs_timeline","n_obs_origContent","prop_origContent","earliest_status","latest_status","mean_favCount_OC","median_favCount_OC","stdDev_favCount_OC","mean_rtCount_OC","median_rtCount_OC","stdDev_rtCount_OC"
300002,"Lamar Alexander","Alexander","","Lamar","Senate","R"," Republican"," Tenn."," centrist Republican leader",0.678052598131,0.701007566353,"https://projects.propublica.org/represent/members/A000360-lamar-alexander",20,60,"2.1%","5.5%","https://twitter.com/SenAlexander",76649729,"Sen. Lamar Alexander","SenAlexander","","Follow Sen. Alexander in TN, in DC, and in the news.","http://t.co/YlhSoXnhmc",TRUE,4120,77109,426,6,2360,"2009-09-23 13:58:50","en","http://t.co/YlhSoXnhmc","http://www.alexander.senate.gov","http://pbs.twimg.com/profile_images/824390599361044480/nZa0YXpu_400x400.jpg","https://pbs.twimg.com/profile_banners/76649729/1373926533","http://pbs.twimg.com/profile_background_images/378800000026259255/de59007b453927d78d651445178fdbe5.jpeg",3201,2166,0.676663542642924,"2014-02-06 23:42:45","2018-02-16 00:31:29",15.5027700831025,5,70.6217177156455,7.87950138504155,4,21.2023959370047
400013,"Tammy Baldwin","Baldwin","","Tammy","Senate","D"," Democrat"," Wis."," rank-and-file Democrat",0.16575941398,0.500949451936,"https://projects.propublica.org/represent/members/B001230-tammy-baldwin",39,347,"3.6%","0.8%","https://twitter.com/SenatorBaldwin",1074518754,"Sen. Tammy Baldwin","SenatorBaldwin","Washington, D.C.","Official Twitter account of United States Senator Tammy Baldwin's office, proudly working for the State of Wisconsin.","http://t.co/p7vErFeoRD",TRUE,11212,88149,2680,474,1890,"2013-01-09 18:29:44","en","http://t.co/p7vErFeoRD","http://www.baldwin.senate.gov/","http://pbs.twimg.com/profile_images/888484691120148481/IQiOuvpT_400x400.jpg","https://pbs.twimg.com/profile_banners/1074518754/1443648530","http://abs.twimg.com/images/themes/theme15/bg.png",3234,2213,0.684291898577613,"2016-09-21 14:00:38","2018-02-18 20:00:06",114.385449615906,38,593.520263334719,44.0099412562133,14,201.921235271947
412251,"John Barrasso","Barrasso","","John","Senate","R"," Republican"," Wyo."," conservative Republican",0.914930794093,0.630406761266,"https://projects.propublica.org/represent/members/B001261-john-barrasso",20,104,"1.7%","0.3%","https://twitter.com/SenJohnBarrasso",202206694,"Sen. John Barrasso","SenJohnBarrasso","","U.S. Senator for the great state of Wyoming and @SenateRPC Chairman.","http://t.co/oAKWpUrAWS",TRUE,3701,79863,505,3,1936,"2010-10-13 14:49:08","en","http://t.co/oAKWpUrAWS","http://barrasso.senate.gov","http://pbs.twimg.com/profile_images/1143907394/twitter_profile_pic_400x400.JPG",NA,"http://pbs.twimg.com/profile_background_images/161136571/background.jpg",3236,2097,0.648022249690977,"2012-05-08 22:12:15","2018-02-17 22:00:41",12.516452074392,2,213.659829517011,8.57319980925131,5,47.1812477599493
412330,"Michael Bennet","Bennet","","Michael","Senate","D"," Democrat"," Colo."," centrist Democrat",0.35126445596,0.330660739246,"https://projects.propublica.org/represent/members/B001267-michael-bennet",30,195,"7.5%","0.3%","https://twitter.com/SenBennetCo",224285242,"Michael F. Bennet","SenBennetCO","Colorado","U.S. Senator for Colorado","http://t.co/bQVU54FnhE",TRUE,2638,197346,316,61,2153,"2010-12-08 16:29:29","en","http://t.co/bQVU54FnhE","http://bennet.senate.gov","http://pbs.twimg.com/profile_images/897159863863836676/lopmOrpE_400x400.jpg","https://pbs.twimg.com/profile_banners/224285242/1513177211","http://pbs.twimg.com/profile_background_images/540921619510603777/f2uuQVwZ.jpeg",2636,1856,0.704097116843703,"2011-01-06 21:41:37","2018-02-16 20:35:54",139.523168103448,9,350.281929580606,50.5630387931034,9,182.486418834413
412490,"Richard Blumenthal","Blumenthal","","Richard","Senate","D"," Democrat"," Conn."," progressive Democratic leader",0.0384250909218,0.714883592293,"https://projects.propublica.org/represent/members/B001277-richard-blumenthal",44,399,"8.4%","0.6%","https://twitter.com/SenBlumenthal",278124059,"Richard Blumenthal","SenBlumenthal","Connecticut, USA","Connecticut’s U.S. Senator","http://t.co/MfF8W57FEu",TRUE,9672,388135,976,435,2792,"2011-04-06 17:13:53","en","http://t.co/MfF8W57FEu","http://blumenthal.senate.gov/","http://pbs.twimg.com/profile_images/870748217440423937/_iFTgKfI_400x400.jpg","https://pbs.twimg.com/profile_banners/278124059/1512656613","http://pbs.twimg.com/profile_background_images/700681397/7be6dec0c815f772c125569e158cc0bd.jpeg",3235,2022,0.625038639876352,"2016-06-20 20:00:08","2018-02-18 20:34:28",479.805143422354,108,2293.64152505054,203.360039564787,34,923.988822889615
400034,"Roy Blunt","Blunt","","Roy","Senate","R"," Republican"," Mo."," moderate Republican leader",0.807650639997,0.748998884362,"https://projects.propublica.org/represent/members/B000575-roy-blunt",29,171,"1.4%","2.2%","https://twitter.com/RoyBlunt",21269970,"Senator Roy Blunt","RoyBlunt","Missouri","Official account of U.S. Senator Roy Blunt. Honored to represent the great state of Missouri.","http://t.co/PG3SSnhQDI",TRUE,9409,79320,7152,62,3261,"2009-02-19 02:58:03","en","http://t.co/PG3SSnhQDI","http://blunt.senate.gov","http://pbs.twimg.com/profile_images/535810548802125824/X0pxn3zA_400x400.jpeg","https://pbs.twimg.com/profile_banners/21269970/1407953971","http://pbs.twimg.com/profile_background_images/404712624/twitter_background_image_3.jpg",3232,2515,0.778155940594059,"2016-02-10 23:28:22","2018-02-16 20:16:27",16.6083499005964,8,29.8710116463252,7.10059642147117,4,11.2027945198439
412598,"Cory Booker","Booker","","Cory","Senate","D"," Democrat"," N.J."," rank-and-file Democrat",0.200149668924,0.50097872904,"https://projects.propublica.org/represent/members/B001288-cory-booker",42,306,"16.1%","5.3%","https://twitter.com/CoryBooker",15808765,"Cory Booker","CoryBooker","Newark, NJ","U.S. Senator from New Jersey",NA,TRUE,61391,3908669,93457,79,15900,"2008-08-11 14:41:16","en",NA,NA,"http://pbs.twimg.com/profile_images/808720861561819136/ErfTMaMx_400x400.jpg","https://pbs.twimg.com/profile_banners/15808765/1486430014","http://pbs.twimg.com/profile_background_images/74694112/Cory_Booker_looking_up5.jpg",3208,421,0.131234413965087,"2017-03-02 03:38:16","2018-02-17 22:19:30",4661.3325415677,1613,8507.7148167671,1362.02850356295,387,2531.00402892285
400040,"John Boozman","Boozman","","John","Senate","R"," Republican"," Ark."," rank-and-file Republican",0.859491160374,0.482141979938,"https://projects.propublica.org/represent/members/B001236-john-boozman",16,196,"0.8%","0.0%","https://twitter.com/JohnBoozman",5558312,"Senator John Boozman","JohnBoozman","Arkansas","Representing Arkansas in the U.S. Senate.  Contact Info: 202-224-4843","http://t.co/PnVwyyvcAT",TRUE,3663,59850,738,202,2204,"2007-04-27 16:05:52","en","http://t.co/PnVwyyvcAT","http://boozman.senate.gov","http://pbs.twimg.com/profile_images/1252648707/Senator_John_Boozman_-_twitter2_400x400.jpg","https://pbs.twimg.com/profile_banners/5558312/1517932966","http://pbs.twimg.com/profile_background_images/438034918/boozman_twitter.jpg",3204,2549,0.795568039950062,"2011-08-24 13:35:47","2018-02-16 22:34:37",14.3872106708513,4,288.529186348332,7.12357787367595,3,63.0614314907923
400050,"Sherrod Brown","Brown","","Sherrod","Senate","D"," Democrat"," Ohio"," progressive Democratic leader",0.0696836415347,0.855744049084,"https://projects.propublica.org/represent/members/B000944-sherrod-brown",47,334,"5.0%","0.0%","https://twitter.com/SenSherrodBrown",43910797,"Sherrod Brown","SenSherrodBrown","Cleveland, OH","Office of United States Senator Sherrod Brown. Proud to serve Ohio. Tweets from Sherrod signed -SB.","http://t.co/YX0sj7bkFG",TRUE,4340,337498,204,56,3704,"2009-06-01 16:07:45","en","http://t.co/YX0sj7bkFG","http://brown.senate.gov","http://pbs.twimg.com/profile_images/523158370333638657/cLmYIfYa_400x400.jpeg","https://pbs.twimg.com/profile_banners/43910797/1397501269","http://pbs.twimg.com/profile_background_images/96234831/SB_TwitterBackground.jpg",3218,2031,0.631137352392791,"2014-02-27 15:20:29","2018-02-16 22:01:00",287.203840472674,72,686.035073429479,115.574101427868,30,346.731096811955
400054,"Richard M. Burr","Burr","M.","Richard","Senate","R"," Republican"," N.C."," rank-and-file Republican",0.707120231462,0.421890181639,"https://projects.propublica.org/represent/members/B001135-richard-m-burr",23,85,"1.1%","3.3%","https://twitter.com/SenatorBurr",21157904,"Richard Burr","SenatorBurr","Winston-Salem, NC","U.S. Senator from North Carolina, Chairman of the Senate Select Committee on Intelligence","http://t.co/MHZvAsvWrN",TRUE,3410,105938,1836,45,3120,"2009-02-18 01:53:03","en","http://t.co/MHZvAsvWrN","http://burr.senate.gov","http://pbs.twimg.com/profile_images/588079658819653632/wwdO4Eqv_400x400.jpg","https://pbs.twimg.com/profile_banners/21157904/1402319779","http://pbs.twimg.com/profile_background_images/821443790/958deacf216c26cd1a8e60fee00a2323.jpeg",3199,2742,0.857142857142857,"2010-03-30 20:24:34","2018-02-17 19:14:31",32.5127644055434,4,519.215476535306,19.2432530999271,5,216.018883157011
