"full_name","chamber","party","state","bin","govTrack_desc","govTrack_ideology","proPub_votesAgainstParty","user_id","screen_name","location","description","statuses_count","followers_count","friends_count","favourites_count","n_obs_timeline","n_obs_origContent","n_obs_textOnly","earliest_status","latest_status","median_favCount_OC","mean_favCount_OC","median_favCount_text","mean_favCount_text"
"Sherrod Brown","Senate","D"," Ohio",2," progressive Democratic leader",0.0696836415347,"5.0%","43910797","SenSherrodBrown","Cleveland, OH","Office of United States Senator Sherrod Brown. Proud to serve Ohio. Tweets from Sherrod signed -SB.",4340,337498,204,56,3227,2037,516,"2014-02-27 15:20:29","2018-02-23 00:15:08",73,287.770250368188,148,442.78488372093
"Richard J. Durbin","Senate","D"," Ill.",2," progressive Democrat",0.0721957694812,"6.0%","247334603","SenatorDurbin","","Serving the people of Illinois. Democratic Whip.",11014,500779,2433,576,3240,1501,478,"2016-11-19 21:20:14","2018-02-23 17:28:56",233,699.467021985343,434.5,1261.79079497908
"Sheldon Whitehouse","Senate","D"," R.I.",2," progressive Democrat",0.0784977432454,"4.5%","242555999","SenWhitehouse","Rhode Island","U.S. Senator from Rhode Island, the Ocean State.",7872,232250,1667,68,3240,1583,232,"2017-03-07 02:37:58","2018-02-23 21:58:03",166,582.075805432723,368.5,1007.18103448276
"Keith Ellison","House","D","Minn.",2," progressive Democrat",0.0869411329507,"7.8%","x14135426","keithellison","Minneapolis — Washington, D.C.","Member of Congress from Minnesota's Fifth District. Vice Chair & Labor Liaison, @USProgressives. Host of We The Podcast. Subscribe here: https://t.co/NSnxwreA3H",19804,363392,6726,661,3205,1584,304,"2017-04-03 20:47:16","2018-02-23 00:12:12",254,663.31755050505,533,1621.89802631579
"Jim McGovern","House","D","Mass.",2," progressive Democrat",0.104017006997,"6.3%","x242426145","RepMcGovern","Massachusetts","Proudly representing the people of the 2nd District of Massachusetts.",7693,36452,506,71,3207,952,33,"2016-08-27 23:01:16","2018-02-23 01:03:10",40,206.947478991597,58,163.848484848485
"Brian Schatz","Senate","D"," Hawaii",2," rank-and-file Democrat",0.104128452789,"7.0%","1262099252","SenBrianSchatz","","Tweets from the Office of U.S. Senator Brian Schatz, representing the great state of Hawaii.",1381,30094,1408,26,1380,1102,326,"2013-03-21 17:46:33","2018-02-08 16:59:10",4,24.1279491833031,5,21.9386503067485
"Mazie K. Hirono","Senate","D"," Hawaii",2," rank-and-file Democrat",0.10426402534,"9.3%","92186819","maziehirono","Hawaii","U.S. Senator Mazie K. Hirono - Proudly Serving the People of Hawaii",4902,196339,1241,70,3210,2091,705,"2012-06-18 19:59:10","2018-02-23 20:16:50",3,192.809182209469,2,300.582978723404
"Jan Schakowsky","House","D","Ill.",2," progressive Democrat",0.115237652727,"6.1%","x24195214","janschakowsky","Chicago, IL","Official Twitter account for Rep. Jan Schakowsky, Illinois 9th Congressional District",6007,35402,1279,259,3204,1888,738,"2015-03-17 18:00:52","2018-02-22 19:26:43",15,62.7266949152542,14,71.3062330623306
"Christopher S. Murphy","Senate","D"," Conn.",2," rank-and-file Democrat",0.115538275937,"5.3%","150078976","ChrisMurphyCT","","U.S. Senator, Connecticut.",15669,635564,178,881,3240,1793,755,"2016-12-28 21:11:02","2018-02-23 21:41:51",517,3121.92080312326,1066,6036.45695364238
"Patty Murray","Senate","D"," Wash.",2," rank-and-file Democrat",0.120571418986,"3.4%","293131808","PattyMurray","WA & DC","Official account of U.S. Senator Patty Murray (D-WA) | Tweets come from staff unless signed “-PM” by Senator Murray | RT≠endorsement",12557,397735,2165,201,3229,1947,511,"2016-09-01 13:20:00","2018-02-23 18:06:54",221,433.851566512583,474,792.424657534247
"Robert Menendez","Senate","D"," N.J.",3," moderate Democratic leader",0.12996565892,"5.7%","18695134","SenatorMenendez","","Proudly serving the State of New Jersey in the United States Senate.",6986,143468,890,385,3215,2396,554,"2015-01-28 15:40:08","2018-02-23 19:44:30",40,250.941151919866,45.5,721.440433212996
"Yvette D. Clarke","House","D","N.Y.",3," progressive Democrat",0.134014592441,"6.3%","x240812994","RepYvetteClarke","Brooklyn, NY","Serving NY's 9th District. Chair, Multicultural Media Caucus; Co-Chair, Black Women & Girls Caucus; Co-Chair, Caribbean Caucus, At-Large Member @OfficialCBC.",11159,40976,3821,7172,3219,1708,209,"2016-12-15 15:45:22","2018-02-22 22:57:10",35,95.4139344262295,36,252.937799043062
"Gwen Moore","House","D","Wis.",3," progressive Democrat",0.136237909102,"6.5%","x22669526","RepGwenMoore","Washington, DC","Honored to represent Wisconsin’s 4th Congressional District. Proud mother, grandmother & great-grandmother. Loves poetry reading, knitting & crocheting.",5785,30432,2684,631,3214,2266,336,"2013-12-13 23:28:03","2018-02-22 19:56:55",6,50.4642541924095,6,188.752976190476
"Charles E. Schumer","Senate","D"," N.Y.",3," rank-and-file Democrat",0.137156735361,"5.3%","17494010","SenSchumer","New York, NY","Official account of Senator Chuck Schumer - New York’s Senator RT≠endorsement",12311,1375184,26314,177,3211,1603,933,"2017-01-23 22:21:57","2018-02-23 17:52:26",1363,3385.90517779164,2007,4504.32904608789
"Mark Takano","House","D","Calif.",3," progressive Democrat",0.143417975945,"6.0%","x1037321378","RepMarkTakano","Riverside, CA","Proudly Representing California's 41st District. Member: @VetAffairsDems, @edworkforcedems, @SciCmteDems.",2464,45610,306,134,2464,1657,715,"2013-01-04 17:21:33","2018-02-22 22:01:53",9,328.01388050694,11,507.71048951049
"Dianne Feinstein","Senate","D"," Calif.",3," moderate Democratic leader",0.154312152342,"6.8%","476256944","SenFeinstein","California","United States Senator from California. On Facebook at: http://t.co/siExqwIu",6379,889713,222,1,3239,2240,869,"2016-04-28 19:14:33","2018-02-23 16:37:55",527,2070.43169642857,1319,4035.48216340621
"Judy Chu","House","D","Calif.",3," progressive Democrat",0.156523124428,"5.8%","x193732179","RepJudyChu","Pasadena, CA","Proudly representing California's 27th District in the U.S. House of Representatives. Ways and Means. Small Business. Chair of @CAPAC.",4217,46518,21711,163,3244,2293,1011,"2013-08-02 14:50:38","2018-02-23 00:19:35",6,101.636284343655,6,71.6310583580613
"Barbara Lee","House","D","Calif.",3," progressive Democrat",0.161007626971,"6.4%","x248735463","RepBarbaraLee","Washington, DC and Oakland, CA","Progressive Democrat representing the #EastBay in Congress. Promoting economic & racial justice, peace, & human rights. Proud member of the #resistance.",7239,173264,16417,3079,3226,1899,758,"2016-01-28 21:45:07","2018-02-22 23:07:22",106,551.57345971564,64.5,741.441952506596
"Jerrold Nadler","House","D","N.Y.",3," progressive Democratic leader",0.162134626239,"6.7%","x40302336","RepJerryNadler","New York, NY","Representing parts of Manhattan and Brooklyn. I serve as Ranking Member of @HouseJudDems. Follow me at https://t.co/eAS0pRYbYu",4392,50666,1772,276,3217,1495,409,"2015-05-28 19:51:24","2018-02-22 22:20:05",55,181.402006688963,100,292.907090464548
"Tammy Baldwin","Senate","D"," Wis.",3," rank-and-file Democrat",0.16575941398,"3.6%","1074518754","SenatorBaldwin","Washington, D.C.","Official Twitter account of United States Senator Tammy Baldwin's office, proudly working for the State of Wisconsin.",11212,88149,2680,474,3207,2187,429,"2016-10-01 13:30:01","2018-02-23 21:00:03",39,116.024234110654,87,210.428904428904
"Jose E. Serrano","House","D","N.Y.",4," progressive Democrat",0.165856498863,"5.6%","x33563161","RepJoseSerrano","Bronx NY-Wash.DC","Congressman representing the South Bronx, New York.",4252,23797,1076,224,3229,2250,835,"2013-04-19 22:28:44","2018-02-23 00:48:32",3,10.6586666666667,3,10.9532934131737
"Louise M. Slaughter","House","D","N.Y.",4," progressive Democrat",0.169308836763,"5.3%","x63169388","louiseslaughter","NY-25","Honored to serve the people of Rochester and Monroe County, NY. Only microbiologist in Congress and Ranking Member of the House Committee on Rules.",3405,24601,1433,120,3190,2249,738,"2010-12-22 19:49:14","2018-02-22 19:16:12",4,12.9653179190751,6,15.3523035230352
"Mark Pocan","House","D","Wis.",4," progressive Democrat",0.171054132447,"5.6%","x1206227149","repmarkpocan","Madison, WI","Honored to serve the people of Wisconsin's Second District. Co-Chair, @USProgressives and @LGBTEqCaucus. Member of @AppropsDems",3980,63804,5218,1059,3199,1843,405,"2013-10-09 15:34:51","2018-02-22 20:16:16",8,115.372761801411,20,234.930864197531
"Alcee L. Hastings","House","D","Fla.",4," progressive Democratic leader",0.171072522358,"7.0%","x2433737761","RepHastingsFL","Florida 20th","Congressman Alcee L. Hastings represents parts of Broward and Palm Beach counties in the U.S. House of Representatives.",989,16125,247,2,987,653,260,"2014-04-08 19:49:42","2018-02-22 01:51:00",5,27.4823889739663,5,19.7269230769231
"Steve Cohen","House","D","Tenn.",4," progressive Democratic leader",0.174976116876,"6.3%","x162069635","RepCohen","Memphis, TN and Washington, DC","Congress TN9.Memphis.Judiciary&Transportation;civil rights/liberties/cr.jstc reform,women&minority issues/animal welfare/med research;Father,TN Educ Lottery.Dem",7289,42811,562,8590,3212,1298,384,"2015-12-07 01:03:15","2018-02-22 21:39:51",25,143.197226502311,20.5,78.1614583333333
"Benjamin L. Cardin","Senate","D"," Md.",4," moderate Democratic leader",0.175745023466,"3.0%","109071031","SenatorCardin","Maryland, USA","U.S. Senator for Maryland. #SavetheBay. Small Biz, Foreign Relations, Finance, Enviro committees. https://t.co/Rwn7M4xbXO",9181,239372,2619,1596,3233,2022,776,"2016-02-09 17:21:13","2018-02-23 20:10:50",71.5,186.027695351137,89.5,230.953608247423
"Frederica Wilson","House","D","Fla.",4," progressive Democrat",0.17718048713,"4.0%","x254082173","RepJoeWilson","","Official Twitter account for Congressman Joe Wilson (SC-02). Grateful to serve as Chairman of the HASC Subcommittee on Readiness",1684,11729,369,391,1684,1094,248,"2011-05-16 13:45:42","2018-02-22 22:11:06",3,8.40127970749543,1,7.81854838709677
"Patrick J. Leahy","Senate","D"," Vt.",4," rank-and-file Democrat",0.178336707836,"3.9%","242836537","SenatorLeahy","Washington, DC","",12223,139685,2329,96,3222,1301,524,"2016-12-14 14:11:49","2018-02-23 18:08:35",59,194.997694081476,94,293.318702290076
"Debbie Stabenow","Senate","D"," Mich.",4," rank-and-file Democrat",0.178532152298,"6.2%","76456274","SenStabenow","Washington, DC","Representing the people from the Great State of Michigan in the United States Senate",3265,83558,2176,30,3231,2237,696,"2009-11-18 15:03:26","2018-02-23 20:55:42",9,71.3911488600805,6,92.0158045977011
"Chris Van Hollen","Senate","D"," Md.",4," moderate Democratic follower",0.18494116631,"4.2%","18137749","ChrisVanHollen","Maryland, USA","U.S. Senator for Maryland",3485,117040,482,563,3235,1952,703,"2012-07-11 13:57:31","2018-02-23 19:10:40",14.5,116.283299180328,18,183.886201991465
"Ron Wyden","Senate","D"," Ore.",5," moderate Democratic leader",0.189800553352,"10.3%","250188760","RonWyden","Oregon","U.S. Senator from Oregon. @SenateFinance Ranking Member. Follow @WydenPress for updates from my staff. Instagram: https://t.co/a6CyBjcD79",5992,391157,398,59,3205,2087,543,"2015-12-09 21:55:53","2018-02-23 20:28:39",177,599.725922376617,399,1191.48066298343
"Bonnie Watson Coleman","House","D","N.J.",5," progressive Democrat",0.196533108056,"6.8%","x2968451607","RepBonnie","New Jersey, USA","Proudly serving the people of New Jersey’s 12th Congressional District. Proud #BlackWoman. Progressive Dem. Member of the #Resistance. Co-Chair of @CBWGCaucus.",4346,11109,664,1858,3223,1181,322,"2016-01-13 03:02:51","2018-02-22 12:53:36",15,40.008467400508,12,33.0434782608696
"Cory Booker","Senate","D"," N.J.",5," rank-and-file Democrat",0.200149668924,"16.1%","15808765","CoryBooker","Newark, NJ","U.S. Senator from New Jersey",61391,3908669,93457,79,3215,423,133,"2017-03-02 03:38:16","2018-02-23 21:13:03",1611,4648.51536643026,4599,8220.75939849624
"Betty McCollum","House","D","Minn.",5," progressive Democrat",0.203361451203,"5.9%","x516880804","BettyMcCollum04","Minnesota","Proudly representing Minnesota's Fourth District in the United States House of Representatives.",5770,23708,1034,585,3220,2110,587,"2015-05-15 15:15:47","2018-02-23 03:08:05",16,42.539336492891,22,62.9761499148211
"Alan Lowenthal","House","D","Calif.",5," progressive Democrat",0.204608871915,"5.2%","x1055730738","RepLowenthal","Long Beach, CA","Proudly serving California's 47th Congressional District. http://t.co/pHmhAyCM6J",3115,23753,3279,303,3112,2266,682,"2013-01-04 19:08:38","2018-02-22 19:45:22",2,15.504854368932,4,30.733137829912
"John Lewis","House","D","Ga.",5," progressive Democratic leader",0.205477534218,"5.5%","x29450962","repjohnlewis","Atlanta, GA","Congressman, Georgia's Fifth Congressional District",1837,856643,147,1676,1831,1510,1018,"2009-04-23 14:02:45","2018-02-16 14:24:02",41,3011.99072847682,38,2656.84086444008
"Grace F. Napolitano","House","D","Calif.",5," progressive Democrat",0.20590373473,"6.7%","x161411080","gracenapolitano","El Monte, CA","Congresswoman from California's 32nd Congressional District in the US House of Representatives",1962,28077,500,91,1961,1155,397,"2010-06-30 20:02:23","2018-02-22 19:57:49",1,9.97056277056277,0,9.56171284634761
"Jared Huffman","House","D","Calif.",5," progressive Democrat",0.206746078249,"7.7%","x1071102246","RepHuffman","California's North Coast","Congressman for California's North Coast. On Facebook at https://t.co/a4QfL2Jw5p.   Listen to my brand new podcast at https://t.co/XDE8MuHKxF",2027,23220,818,41,2025,1137,373,"2013-01-18 20:38:38","2018-02-22 22:05:29",3,16.4300791556728,2,14.9544235924933
"David Cicilline","House","D","R.I.",5," progressive Democratic leader",0.208387726551,"5.1%","x462143773","RepCicilline","Pawtucket/Washington","Tweets from the press office of Congressman David N. Cicilline (D-RI).",4896,13699,11276,674,3211,2301,575,"2016-02-25 15:50:26","2018-02-22 21:15:00",5,15.9278574532812,7,15.9078260869565
"Zoe Lofgren","House","D","Calif.",5," progressive Democratic leader",0.208957702778,"6.0%","x267938462","RepZoeLofgren","","Member of Congress Proudly Representing CA's 19th Congressional District in Silicon Valley's cities of San Jose, Morgan Hill & Gilroy",2061,32313,106,19,2055,1211,389,"2011-06-01 16:00:15","2018-02-16 20:00:33",2,16.5491329479769,3,22.3419023136247
"Elijah E. Cummings","House","D","Md.",6," progressive Democrat",0.209654863565,"4.9%","x787373558","RepCummings","Baltimore, MD","U.S. Representative from Maryland's 7th District, dedicated to serving and empowering the people I’m sworn to represent. RT's and Follows are not endorsements.",5647,186198,1609,55,3186,646,318,"2015-05-11 11:34:07","2018-02-22 00:07:20",25,237.187306501548,38,303.037735849057
"Gregory W. Meeks","House","D","N.Y.",6," progressive Democrat",0.218971513563,"6.7%","x22812754","RepGregoryMeeks","Queens, New York","Proudly serving the people of the 5th Congressional District of New York. For media inquiries, please contact jordan.morris@mail.house.gov",3846,23219,776,609,3229,2241,971,"2012-10-30 16:55:58","2018-02-22 21:47:42",2,11.0049085229808,2,8.5653964984552
"Mark DeSaulnier","House","D","Calif.",6," progressive Democrat",0.219935250815,"6.2%","x2968007206","RepDeSaulnier","Concord, CA","Honored to represent California's 11th Congressional District. Member of: @transportdems @edworkforcedems @oversightdems",1916,11527,616,117,1918,1470,170,"2015-01-13 16:50:23","2018-02-23 03:45:00",8,42.5659863945578,20,123.817647058824
"Rosa DeLauro","House","D","Conn.",6," progressive Democratic leader",0.221549160733,"5.3%","x140519774","rosadelauro","New Haven, CT","Proud to represent CT's 3rd CD. Italian-American, New Haven native, fierce advocate for a strong middle class & those in need. Tweets from Rosa are signed -Rosa",5876,33405,2603,48,3221,1726,754,"2014-05-07 19:02:28","2018-02-22 21:12:48",5,27.1935110081112,7,35.5954907161804
"Donald M. Payne Jr.","House","D","N.J.",6," progressive Democrat",0.223141938794,"5.1%","x1155335864","RepDonaldPayne","www.facebook.com/DonaldPayneJr","Proudly serving New Jersey's 10th Congressional District",4555,11461,1097,103,3218,1889,323,"2015-03-25 18:37:04","2018-02-22 19:06:24",3,9.3070407623081,4,16.9009287925697
"Jeanne Shaheen","Senate","D"," N.H.",6," moderate Democratic leader",0.226240730681,"5.0%","109287731","SenatorShaheen","Washington, DC","Proud Granite Stater serving New Hampshire in the US Senate. Former Governor. Mother & Grandmother. Frequent Flyer. Pats & Red Sox Fan. Outdoor enthusiast.",6057,83029,5516,234,3216,2579,692,"2014-08-06 19:39:05","2018-02-23 21:06:10",11,55.5199689802249,14,90.2052023121387
"Katherine Clark","House","D","Mass.",6," progressive Democratic leader",0.230324881913,"4.4%","x2293131060","RepKClark","","Proudly representing the people of the 5th District of Massachusetts.",3610,55249,1039,211,3201,2408,306,"2014-07-24 15:33:30","2018-02-22 20:31:48",20,76.0772425249169,22,118.359477124183
"Amy Klobuchar","Senate","D"," Minn.",6," moderate Democratic leader",0.232116572078,"4.2%","33537967","amyklobuchar","","U.S. Senator from Minnesota. Follows, Retweets, Replies ≠ endorsement",6569,404333,109839,26,3231,2616,1218,"2015-11-16 23:03:21","2018-02-23 02:35:56",134,398.372324159021,108,513.73973727422
"Earl Blumenauer","House","D","Ore.",6," progressive Democrat",0.232274115732,"7.2%","x137823987","BlumenauerMedia","","Rep. Earl Blumenauer (OR-03) congressional account. Tweets are by staff.",352,3093,251,0,352,211,82,"2010-04-27 21:54:57","2014-07-30 20:27:37",0,0.28436018957346,0,0.134146341463415
"Robert C. Scott","House","D","Va.",6," progressive Democratic leader",0.232935777084,"6.6%","x168673083","repdavidscott","Georgia","Representing Georgia's 13th Congressional District including Cobb, Douglas, Fayette, Fulton, Clayton, and Henry Counties.",2651,16871,1796,2410,2643,1274,433,"2010-07-20 15:18:49","2018-02-22 13:15:06",0,2.53296703296703,0,1.91454965357968
"Paul Tonko","House","D","N.Y.",7," progressive Democrat",0.234309767873,"6.5%","x84119348","RepPaulTonko","","U.S. Representative for New York’s 20th Congressional District including Albany, Schenectady, Troy, Saratoga Springs, Amsterdam and surrounding areas.",10467,22208,1863,2023,3214,1660,517,"2016-01-20 21:14:30","2018-02-22 20:58:33",5,19.2060240963855,4,23.3172147001934
"Hank Johnson","House","D","Ga.",7," progressive Democratic leader",0.234759406027,"6.9%","x24745957","RepHankJohnson","Lithonia, GA; Washington","I fight for justice, civil rights and working people.",4361,29213,781,531,3233,1711,351,"2013-01-03 21:46:16","2018-02-23 01:34:44",4,15.7562828755114,6,29.5811965811966
"Lucille Roybal-Allard","House","D","Calif.",7," progressive Democratic leader",0.236575496678,"4.3%","x479872233","RepRoybalAllard","","Proudly representing California’s 40th Congressional District. Follow me at https://t.co/KjVfmF9CaM & https://t.co/Urj0zPAr8d.",4025,20395,2197,22,3212,2666,575,"2014-08-01 13:56:08","2018-02-23 02:22:23",4,16.3687171792948,6,19.9408695652174
"Nydia M. Velazquez","House","D","N.Y.",7," progressive Democratic leader",0.236644004166,"5.9%","x164369297","NydiaVelazquez","NYC and DC","Represents New York's 7th Congressional District in the U.S. House of Representatives.  Top Democrat on House Small Business Committee. Follow us  @HouseSBCDems",3793,37854,3897,350,3230,2008,761,"2016-05-25 18:49:21","2018-02-22 22:18:16",26,85.8645418326693,31,113.775295663601
"Maxine Waters","House","D","Calif.",7," moderate Democratic leader",0.236773039683,"6.2%","x3166120541","MaxineWaters","Los Angeles, CA","The Campaign Committee to Reelect Congresswoman Maxine Waters.",1516,12558,521,1252,1515,58,23,"2015-04-14 23:04:29","2018-02-21 20:10:39",8,111.793103448276,3,54.3478260869565
"Kamala Harris","Senate","D"," Calif.",7," moderate Democratic follower",0.238261495883,"15.3%","803694179079458816","SenKamalaHarris","","Official Twitter account of U.S. Senator Kamala Harris.",1756,340385,544,368,1758,1253,541,"2017-02-15 22:48:45","2018-02-22 15:01:13",1371,4133.30087789306,2882,7025.98336414048
"Bobby L. Rush","House","D","Ill.",7," moderate Democratic follower",0.240102746008,"5.9%","x305216911","RepBobbyRush","D.C./Chicago & SW Suburbs","The official twitter account of Rep. Bobby L. Rush.  For official policy please see http://t.co/biKpeeMhCz.  RT does NOT constitute an endorsement.",1255,14036,570,54,1255,986,349,"2011-05-25 21:09:24","2018-02-22 21:55:40",1,9.24442190669371,1,10.7449856733524
"Martin Heinrich","Senate","D"," N.M.",7," moderate Democratic follower",0.242063567821,"6.2%","1099199839","MartinHeinrich","","United States Senator from New Mexico",5774,143517,542,463,3233,2196,537,"2016-10-14 19:44:15","2018-02-23 00:18:26",87.5,246.681238615665,164,519.435754189944
"Maria Cantwell","Senate","D"," Wash.",7," rank-and-file Democrat",0.242688821505,"3.3%","117501995","SenatorCantwell","Washington, DC","U.S. Senator from Washington State | Tweets from Maria are signed –MC | Facebook:https://t.co/qLmMk10nJI
RT≠endorsement",5005,213379,1521,209,3239,2781,1174,"2016-02-23 15:26:29","2018-02-23 21:20:10",72,142.679971233369,105,190.781942078365
"Hakeem Jeffries","House","D","N.Y.",7," rank-and-file Democrat",0.247863301144,"5.3%","x467823431","RepJeffries","","Member of Congress, House Democratic Leadership, Judiciary and Budget Committee. Proudly Represent Brooklyn & Queens in the 8th Congressional District.",2662,46319,1097,400,2662,2108,773,"2013-01-16 18:53:35","2018-02-22 18:17:42",7,81.2680265654649,12,97.2522639068564
"Bob Casey","Senate","D"," Pa.",8," moderate Democratic leader",0.24796279772,"3.6%","171598736","SenBobCasey","Scranton, PA","Official twitter profile for U.S. Senator Bob Casey.",7373,394868,553,400,3209,951,370,"2017-01-28 16:19:13","2018-02-23 14:46:43",451,992.889589905363,689.5,1583.16756756757
"Christopher A. Coons","Senate","D"," Del.",8," rank-and-file Democrat",0.249680981459,"7.7%","435500714","SenCoonsOffice","Delaware & Washington","News releases, blog posts, new videos, transcripts and other resources from the office of U.S. Senator @ChrisCoons of Delaware.",2198,6570,106,0,2191,1697,214,"2011-12-30 19:03:12","2016-08-31 18:51:49",0,0.255156157925751,0,0.172897196261682
"Matt Cartwright","House","D","Pa.",8," moderate Democratic leader",0.250238222934,"7.2%","x776664410","RepCartwright","Moosic, PA","Proudly representing Pennsylvania's 17th Congressional District.",1914,9546,1912,12,1905,1091,703,"2013-01-07 23:12:35","2018-02-20 17:27:49",0,2.48212648945921,0,1.97439544807966
"Jackie Speier","House","D","Calif.",8," moderate Democratic leader",0.25051286901,"6.1%","x24913074","RepSpeier","","Represents California's 14th Congressional District. House Armed Services Committee, House Permanent Select Committee on Intelligence. https://t.co/gGH33BzCXx",4436,110772,22118,306,3209,2563,642,"2013-07-18 13:23:13","2018-02-22 20:01:29",17,109.952009364027,15,206.711838006231
"Karen Bass","House","D","Calif.",8," moderate Democratic leader",0.254654047605,"6.3%","x239949176","RepKarenBass","Los Angeles & Washington","Representing California's 37th District, which includes Los Angeles, South LA, and Culver City. https://t.co/XHzgMSAQAc",4057,72086,14371,690,3230,2423,718,"2012-11-30 17:27:33","2018-02-22 01:37:06",6,87.4527445315724,5,125.548746518106
"Tim Kaine","Senate","D"," Va.",8," rank-and-file Democrat",0.255759646967,"5.3%","172858784","timkaine","Richmond, VA","Husband to @AnneHolton, father of 3. U.S. Senator from Virginia. In my free time, I’m either outdoors, reading, or jamming on the harmonica.",9156,918134,763,374,3228,2158,1051,"2015-11-17 21:00:17","2018-02-23 17:24:01",812,2229.17145505097,928,2781.30827783064
"Al Green","House","D","Texas",8," rank-and-file Democrat",0.256171497899,"6.3%","x156333623","RepAlGreen","Houston, TX & Washington, DC","Proud to represent the 9th District of Texas in the U.S. House of Representatives • https://t.co/Lcfa10jIfH • https://t.co/MXGp8OLtZm #First58",1494,48211,635,391,1493,851,428,"2010-06-17 16:55:19","2018-02-21 17:51:48",2,300.777908343126,3,506.135514018692
"Adam Smith","House","D","Wash.",8," rank-and-file Democrat",0.256797509994,"6.9%","x58928690","RepAdamSmith","Washington's 9th District","Proudly serving Washington State's 9th District. Ranking Member of the House Armed Services Committee @HASCDemocrats",2647,27518,1593,108,2645,1688,543,"2009-10-01 20:47:28","2018-02-22 22:52:55",1,10.0047393364929,1,7.47329650092081
"Tammy Duckworth","Senate","D"," Ill.",8," moderate Democratic follower",0.258092646365,"7.6%","1058520120","SenDuckworth","","Official Twitter account for Tammy Duckworth's Senate office. Posts by staff unless signed - TD. For more information, visit",3669,360372,7285,221,3217,2239,387,"2013-08-06 19:06:08","2018-02-22 22:16:28",14,356.967396159,39,432.62015503876
