"govTrack_id","lastName","party","govTrack_desc","govTrack_ideology","govTrack_leadership"
300087,"Schumer"," Democrat"," rank-and-file Democrat",0.137156735361,0.479300806721
400013,"Baldwin"," Democrat"," rank-and-file Democrat",0.16575941398,0.500949451936
412490,"Blumenthal"," Democrat"," progressive Democratic leader",0.0384250909218,0.714883592293
400034,"Blunt"," Republican"," moderate Republican leader",0.807650639997,0.748998884362
412598,"Booker"," Democrat"," rank-and-file Democrat",0.200149668924,0.50097872904
400064,"Cardin"," Democrat"," moderate Democratic leader",0.175745023466,0.910810235046
300030,"Crapo"," Republican"," rank-and-file Republican",0.831417602877,0.515216505772
412205,"Donnelly"," Democrat"," centrist Democratic follower",0.556441307664,0.329432223327
300038,"Durbin"," Democrat"," progressive Democrat",0.0721957694812,0.672191855155
412378,"Franken"," Democrat"," progressive Democrat",0.0148229029114,0.482978537927
412223,"Gillibrand"," Democrat"," progressive Democrat",0.0316252910194,0.617040539892
412218,"Heller"," Republican"," centrist Republican",0.677168494704,0.597504850366
400194,"Isakson"," Republican"," rank-and-file Republican",0.77031496323,0.604846239966
412242,"Klobuchar"," Democrat"," moderate Democratic leader",0.232116572078,0.720251675636
400253,"Markey"," Democrat"," progressive Democrat",0.00535859327782,0.488827529737
400272,"Menendez"," Democrat"," moderate Democratic leader",0.12996565892,0.915810507945
412325,"Merkley"," Democrat"," progressive Democrat",0.00635441588391,0.434426808367
412194,"Murphy"," Democrat"," rank-and-file Democrat",0.115538275937,0.343035385839
300081,"Reed"," Democrat"," progressive Democrat",0.0650440453539,0.572888149454
412244,"Tester"," Democrat"," centrist Democrat",0.437544466669,0.610763909013
412321,"Warner"," Democrat"," centrist Democrat",0.396212258046,0.548405333537
412492,"Paul"," Republican"," rank-and-file Republican",0.758338023265,0.495550408055
300025,"Collins"," Republican"," centrist Republican leader",0.410536638018,0.725731630106
400050,"Brown"," Democrat"," progressive Democratic leader",0.0696836415347,0.855744049084
300023,"Cochran"," Republican"," moderate Republican follower",0.721450511663,0.151735862728
412545,"King"," Independent"," centrist Independent",0.401879827355,0.352496494563
412323,"Shaheen"," Democrat"," moderate Democratic leader",0.226240730681,0.718426330194
400413,"Udall"," Democrat"," rank-and-file Democrat",0.292847871723,0.48120823435
412542,"Warren"," Democrat"," progressive Democrat",0.0436026871332,0.650966931595
412247,"Whitehouse"," Democrat"," progressive Democrat",0.0784977432454,0.489389746482
400432,"Wicker"," Republican"," rank-and-file Republican",0.813028215783,0.628986517004
300052,"Hatch"," Republican"," moderate Republican leader",0.810458126902,0.976022391423
400054,"Burr"," Republican"," rank-and-file Republican",0.707120231462,0.421890181639
300027,"Cornyn"," Republican"," conservative Republican leader",0.898890260831,0.883791111674
